Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Female,0.008888,0.007104,1.008927616,0.994976819,1.023074,-0.000997,0.063406,0.999900305,0.987550864,1.012404,-0.000756,0.000846,0.99036987,0.969571315,1.011615,0.000894,0.00089,1.005827917,0.994487649,1.017297
Age 11-60 Male,-0.000258,0.006267,0.999742033,0.987536995,1.012098,0.024748,0.055393,1.002477865,0.991652805,1.013421,-0.000436,0.000746,0.994434744,0.975996335,1.013221,0.000312,0.000783,1.002030058,0.992084077,1.012076
Age 60+All,0.008713,0.003715,1.008751069,1.001432625,1.016123,0.039372,0.032851,1.003944961,0.99750153,1.010430,-0.000275,0.000446,0.996486188,0.985398405,1.007699,0.000849,0.000464,1.005533755,0.999607217,1.011495
Age 60+ Female,0.00765,0.004739,1.007679336,0.998362902,1.017083,0.031856,0.041849,1.003190679,0.994995759,1.011453,-0.00068,0.000568,0.99133377,0.977307455,1.005561,0.000751,0.000591,1.004893434,0.997355662,1.012488
Age 60+ Male,0.009839,0.005068,1.009887562,0.999905724,1.019969,0.047409,0.044903,1.004752156,0.995948143,1.013634,0.000152,0.000608,1.001947494,0.986780255,1.017348,0.000954,0.000634,1.006220266,0.998125599,1.014381
All: LAG 3,0.00293,0.003281,1.002934297,0.996505361,1.009405,0.006382,0.029136,1.000638404,0.994940387,1.006369,-0.000296,0.000393,0.996218368,0.986444333,1.006089,0.0006,0.000411,1.003907615,0.998664752,1.009178
Female,0.00276,0.004142,1.002763812,0.99465601,1.010938,0.008308,0.036822,1.000831145,0.993634037,1.008080,-0.000719,0.000497,0.99083902,0.978561213,1.003271,0.000488,0.000518,1.003177036,0.996578547,1.009819
Male,0.003094,0.004205,1.003098791,0.994865427,1.011400,0.004628,0.037301,1.000462907,0.993175199,1.007804,0.000101,0.000504,1.001293636,0.988712634,1.014035,0.000706,0.000526,1.004599546,0.997889989,1.011354
Warm All,0.00193,0.003982,1.001931864,0.994142502,1.009782,-0.021533,0.034594,0.997849017,0.991106063,1.004638,-0.000143,0.00051,0.998171274,0.98548115,1.011025,0.000104,0.000502,1.000676229,0.994296845,1.007097
Warm Female,0.003433,0.004612,1.003438899,0.994409167,1.012551,-0.007754,0.040097,0.999224901,0.991402757,1.007109,-0.000808,0.000592,0.989710899,0.975120237,1.004520,0.000235,0.000581,1.001528667,0.994142781,1.008969
Warm Male,0.000519,0.004644,1.000519135,0.991453491,1.009668,-0.034449,0.040309,0.996561027,0.988718653,1.004466,0.000474,0.000594,1.006085643,0.991203843,1.021191,-0.00002,0.000586,0.999870008,0.992433134,1.007363
Cold All,0.004338,0.004133,1.004347423,0.99624439,1.012516,0.065267,0.037805,1.006548045,0.99911731,1.014034,-0.000575,0.000436,0.992667018,0.981868031,1.003585,0.001499,0.000521,1.009791122,1.003110788,1.016516
Cold Female,0.0004,0.005061,1.00040008,0.990525608,1.010373,0.03915,0.046407,1.003922674,0.994832625,1.013096,-0.000707,0.000534,0.990991224,0.977803458,1.004357,0.000811,0.00064,1.005285419,0.997122049,1.013516
Cold Male,0.00811,0.005179,1.008142975,0.997961241,1.018429,0.090092,0.047277,1.009049905,0.999742941,1.018444,-0.000447,0.000546,0.994294737,0.980767699,1.008008,0.002153,0.000651,1.014092881,1.00571704,1.022538
Age 0-10 All,-0.013193,0.031365,0.986893646,0.928051177,1.049467,0.124944,0.27441,1.012572781,0.959550858,1.068525,-0.004049,0.003689,0.949492925,0.865561515,1.041563,0.003549,0.003948,1.023336636,0.973138348,1.076124
Age 0-10 Female,0.019149,0.04359,1.019333518,0.935861859,1.110250,-0.223261,0.374272,0.977921283,0.90875167,1.052356,0.001096,0.005129,1.014127665,0.891680359,1.153390,0.005429,0.005526,1.035918528,0.96549656,1.111477
Age 0-10 Male,-0.033436,0.038025,0.967116805,0.897659014,1.041949,0.356487,0.336348,1.036291733,0.970178205,1.106911,-0.007368,0.004467,0.910000254,0.813525102,1.017916,0.002439,0.004761,1.015979833,0.956187132,1.079512
Age 11-60 All,-0.005488,0.005044,0.994527032,0.98474334,1.004408,-0.054607,0.04498,0.994554183,0.98582465,1.003361,-0.000411,0.000603,0.994753014,0.979817583,1.009916,-0.000204,0.000633,0.998674879,0.990653532,1.006761
Age 11-60 Female,-0.010197,0.007071,0.989854813,0.976230883,1.003669,-0.103996,0.063405,0.989654289,0.977431584,1.002030,-0.00059,0.000845,0.992476445,0.971658027,1.013741,-0.001093,0.000889,0.992920677,0.98173844,1.004230
Age 11-60 Male,-0.001857,0.006258,0.998144723,0.985976577,1.010463,-0.017621,0.055552,0.998239452,0.987429387,1.009168,-0.000272,0.000749,0.996524454,0.977973689,1.015427,0.000478,0.000784,1.003111832,0.993142461,1.013181
Age 60+All,0.00766,0.003716,1.007689413,1.000376711,1.015056,0.037762,0.032939,1.003783339,0.997323744,1.010285,-0.000193,0.000447,0.997532649,0.986408474,1.008782,0.001003,0.000464,1.006540798,1.000608325,1.012508
Age 60+ Female,0.008557,0.004734,1.008593716,0.99927862,1.017996,0.060035,0.041926,1.006021557,0.997788453,1.014323,-0.000796,0.00057,0.98986293,0.975808462,1.004120,0.001166,0.000591,1.007607793,1.000049661,1.015223
Age 60+ Male,0.006723,0.005073,1.00674565,0.996785099,1.016806,0.014237,0.04499,1.001424714,0.992632931,1.010294,0.000441,0.000608,1.005660762,0.990437312,1.021118,0.00083,0.000635,1.005409579,0.997308728,1.013576
All: LAG 4,0.003575,0.00329,1.003581398,0.997130724,1.010074,-0.007201,0.028976,0.999280159,0.993621037,1.004972,0.000162,0.000395,1.002075751,0.992194463,1.012055,0.00037,0.000412,1.002407894,0.99716016,1.007683
Female,0.009148,0.004154,1.009189971,1.001006666,1.017440,0.035978,0.036628,1.00360428,0.996425117,1.010835,0.000379,0.000499,1.004862986,0.99236161,1.017522,0.000784,0.00052,1.005109007,0.998472368,1.011790
Male,-0.001645,0.00421,0.998356352,0.99015221,1.006628,-0.047468,0.037061,0.995264448,0.988061085,1.002520,-0.000043,0.000505,0.999449751,0.986867158,1.012193,-0.000018,0.000528,0.999883007,0.993179645,1.006632
Warm All,0.005481,0.003984,1.005496048,0.997675067,1.013378,-0.009099,0.034295,0.999090514,0.992397328,1.005829,0.000374,0.000513,1.004798677,0.991949635,1.017814,0.000473,0.0005,1.003079231,0.996709924,1.009489
Warm Female,0.01001,0.004617,1.010060268,1.000961142,1.019242,0.030028,0.039723,1.003007313,0.995228512,1.010847,0.00053,0.000595,1.006807063,0.991889707,1.021949,0.000948,0.000578,1.006181024,0.998799002,1.013618
Warm Male,0.001257,0.004637,1.00125779,0.992199066,1.010399,-0.045489,0.039929,0.995461431,0.987701271,1.003283,0.000228,0.000596,1.002922663,0.988038072,1.018031,0.000026,0.000584,1.000169014,0.992755211,1.007638
Cold All,-0.001346,0.004153,0.998654905,0.990558969,1.006817,-0.008048,0.037874,0.999195524,0.991805654,1.006640,-0.000224,0.000437,0.997136906,0.986264548,1.008129,-0.000031,0.000527,0.99979852,0.993108377,1.006534
Cold Female,0.006427,0.005093,1.006447697,0.996451033,1.016545,0.043329,0.046554,1.004342301,0.995219778,1.013548,0.000102,0.000536,1.001306453,0.987931843,1.014862,0.000264,0.000648,1.001717473,0.993481816,1.010021
Cold Male,-0.008721,0.005194,0.991316918,0.981276268,1.001460,-0.056184,0.047309,0.994397354,0.985219358,1.003661,-0.000536,0.000547,0.993162682,0.979626467,1.006886,-0.000307,0.000658,0.99800649,0.98967525,1.006408
